"SEX","GEO","UNIT","ICD10","AGE","RESID","TIME","Value","Flag and Footnotes"
"Males","Latvia","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","Lithuania","Number","Intentional self-harm","Total","All deaths reported in the country","2011","811",""
"Males","Lithuania","Number","Intentional self-harm","Total","All deaths reported in the country","2012","748",""
"Males","Lithuania","Number","Intentional self-harm","Total","All deaths reported in the country","2013","886",""
"Males","Lithuania","Number","Intentional self-harm","Total","All deaths reported in the country","2014","771",""
"Males","Lithuania","Number","Intentional self-harm","Total","All deaths reported in the country","2015","721",""
"Males","Lithuania","Number","Intentional self-harm","Total","All deaths reported in the country","2016","696",""
"Males","Lithuania","Number","Intentional self-harm","Total","All deaths reported in the country","2017","600",""
"Males","Luxembourg","Number","Intentional self-harm","Total","All deaths reported in the country","2011","40",""
"Males","Luxembourg","Number","Intentional self-harm","Total","All deaths reported in the country","2012","43",""
"Males","Luxembourg","Number","Intentional self-harm","Total","All deaths reported in the country","2013","32",""
"Males","Luxembourg","Number","Intentional self-harm","Total","All deaths reported in the country","2014","60",""
"Males","Luxembourg","Number","Intentional self-harm","Total","All deaths reported in the country","2015","46",""
"Males","Luxembourg","Number","Intentional self-harm","Total","All deaths reported in the country","2016","34",""
"Males","Luxembourg","Number","Intentional self-harm","Total","All deaths reported in the country","2017","41",""
"Males","Hungary","Number","Intentional self-harm","Total","All deaths reported in the country","2011","1,847",""
"Males","Hungary","Number","Intentional self-harm","Total","All deaths reported in the country","2012","1,803",""
"Males","Hungary","Number","Intentional self-harm","Total","All deaths reported in the country","2013","1,588",""
"Males","Hungary","Number","Intentional self-harm","Total","All deaths reported in the country","2014","1,480",""
"Males","Hungary","Number","Intentional self-harm","Total","All deaths reported in the country","2015","1,391",""
"Males","Hungary","Number","Intentional self-harm","Total","All deaths reported in the country","2016","1,317",""
"Males","Hungary","Number","Intentional self-harm","Total","All deaths reported in the country","2017","1,241",""
"Males","Malta","Number","Intentional self-harm","Total","All deaths reported in the country","2011","22",""
"Males","Malta","Number","Intentional self-harm","Total","All deaths reported in the country","2012","21",""
"Males","Malta","Number","Intentional self-harm","Total","All deaths reported in the country","2013","26",""
"Males","Malta","Number","Intentional self-harm","Total","All deaths reported in the country","2014","31",""
"Males","Malta","Number","Intentional self-harm","Total","All deaths reported in the country","2015","30",""
"Males","Malta","Number","Intentional self-harm","Total","All deaths reported in the country","2016","21",""
"Males","Malta","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","Netherlands","Number","Intentional self-harm","Total","All deaths reported in the country","2011","1,183",""
"Males","Netherlands","Number","Intentional self-harm","Total","All deaths reported in the country","2012","1,256",""
"Males","Netherlands","Number","Intentional self-harm","Total","All deaths reported in the country","2013","1,365",""
"Males","Netherlands","Number","Intentional self-harm","Total","All deaths reported in the country","2014","1,296",""
"Males","Netherlands","Number","Intentional self-harm","Total","All deaths reported in the country","2015","1,341",""
"Males","Netherlands","Number","Intentional self-harm","Total","All deaths reported in the country","2016","1,333",""
"Males","Netherlands","Number","Intentional self-harm","Total","All deaths reported in the country","2017","1,377",""
"Males","Austria","Number","Intentional self-harm","Total","All deaths reported in the country","2011","992",""
"Males","Austria","Number","Intentional self-harm","Total","All deaths reported in the country","2012","1,013",""
"Males","Austria","Number","Intentional self-harm","Total","All deaths reported in the country","2013","980",""
"Males","Austria","Number","Intentional self-harm","Total","All deaths reported in the country","2014","1,012",""
"Males","Austria","Number","Intentional self-harm","Total","All deaths reported in the country","2015","987",""
"Males","Austria","Number","Intentional self-harm","Total","All deaths reported in the country","2016","936",""
"Males","Austria","Number","Intentional self-harm","Total","All deaths reported in the country","2017","994",""
"Males","Poland","Number","Intentional self-harm","Total","All deaths reported in the country","2011","5,359",""
"Males","Poland","Number","Intentional self-harm","Total","All deaths reported in the country","2012","5,563",""
"Males","Poland","Number","Intentional self-harm","Total","All deaths reported in the country","2013","5,383",""
"Males","Poland","Number","Intentional self-harm","Total","All deaths reported in the country","2014","5,141",""
"Males","Poland","Number","Intentional self-harm","Total","All deaths reported in the country","2015","4,697",""
"Males","Poland","Number","Intentional self-harm","Total","All deaths reported in the country","2016","4,076",""
"Males","Poland","Number","Intentional self-harm","Total","All deaths reported in the country","2017","3,899",""
"Males","Portugal","Number","Intentional self-harm","Total","All deaths reported in the country","2011","794",""
"Males","Portugal","Number","Intentional self-harm","Total","All deaths reported in the country","2012","859",""
"Males","Portugal","Number","Intentional self-harm","Total","All deaths reported in the country","2013","812",""
"Males","Portugal","Number","Intentional self-harm","Total","All deaths reported in the country","2014","925",""
"Males","Portugal","Number","Intentional self-harm","Total","All deaths reported in the country","2015","803",""
"Males","Portugal","Number","Intentional self-harm","Total","All deaths reported in the country","2016","750",""
"Males","Portugal","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","Romania","Number","Intentional self-harm","Total","All deaths reported in the country","2011","2,143",""
"Males","Romania","Number","Intentional self-harm","Total","All deaths reported in the country","2012","2,140",""
"Males","Romania","Number","Intentional self-harm","Total","All deaths reported in the country","2013","2,042",""
"Males","Romania","Number","Intentional self-harm","Total","All deaths reported in the country","2014","1,879",""
"Males","Romania","Number","Intentional self-harm","Total","All deaths reported in the country","2015","1,883",""
"Males","Romania","Number","Intentional self-harm","Total","All deaths reported in the country","2016","1,651",""
"Males","Romania","Number","Intentional self-harm","Total","All deaths reported in the country","2017","1,595",""
"Males","Slovenia","Number","Intentional self-harm","Total","All deaths reported in the country","2011","354",""
"Males","Slovenia","Number","Intentional self-harm","Total","All deaths reported in the country","2012","368",""
"Males","Slovenia","Number","Intentional self-harm","Total","All deaths reported in the country","2013","368",""
"Males","Slovenia","Number","Intentional self-harm","Total","All deaths reported in the country","2014","330",""
"Males","Slovenia","Number","Intentional self-harm","Total","All deaths reported in the country","2015","342",""
"Males","Slovenia","Number","Intentional self-harm","Total","All deaths reported in the country","2016","300",""
"Males","Slovenia","Number","Intentional self-harm","Total","All deaths reported in the country","2017","333",""
"Males","Slovakia","Number","Intentional self-harm","Total","All deaths reported in the country","2011","471",""
"Males","Slovakia","Number","Intentional self-harm","Total","All deaths reported in the country","2012","503",""
"Males","Slovakia","Number","Intentional self-harm","Total","All deaths reported in the country","2013","537",""
"Males","Slovakia","Number","Intentional self-harm","Total","All deaths reported in the country","2014","473",""
"Males","Slovakia","Number","Intentional self-harm","Total","All deaths reported in the country","2015","399",""
"Males","Slovakia","Number","Intentional self-harm","Total","All deaths reported in the country","2016","330",""
"Males","Slovakia","Number","Intentional self-harm","Total","All deaths reported in the country","2017","310",""
"Males","Finland","Number","Intentional self-harm","Total","All deaths reported in the country","2011","709",""
"Males","Finland","Number","Intentional self-harm","Total","All deaths reported in the country","2012","656",""
"Males","Finland","Number","Intentional self-harm","Total","All deaths reported in the country","2013","676",""
"Males","Finland","Number","Intentional self-harm","Total","All deaths reported in the country","2014","606",""
"Males","Finland","Number","Intentional self-harm","Total","All deaths reported in the country","2015","558",""
"Males","Finland","Number","Intentional self-harm","Total","All deaths reported in the country","2016","622",""
"Males","Finland","Number","Intentional self-harm","Total","All deaths reported in the country","2017","613",""
"Males","Sweden","Number","Intentional self-harm","Total","All deaths reported in the country","2011","791",""
"Males","Sweden","Number","Intentional self-harm","Total","All deaths reported in the country","2012","821",""
"Males","Sweden","Number","Intentional self-harm","Total","All deaths reported in the country","2013","862",""
"Males","Sweden","Number","Intentional self-harm","Total","All deaths reported in the country","2014","791",""
"Males","Sweden","Number","Intentional self-harm","Total","All deaths reported in the country","2015","856",""
"Males","Sweden","Number","Intentional self-harm","Total","All deaths reported in the country","2016","785",""
"Males","Sweden","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","United Kingdom","Number","Intentional self-harm","Total","All deaths reported in the country","2011","3,275",""
"Males","United Kingdom","Number","Intentional self-harm","Total","All deaths reported in the country","2012","3,572",""
"Males","United Kingdom","Number","Intentional self-harm","Total","All deaths reported in the country","2013","3,644",""
"Males","United Kingdom","Number","Intentional self-harm","Total","All deaths reported in the country","2014","3,434",""
"Males","United Kingdom","Number","Intentional self-harm","Total","All deaths reported in the country","2015","3,577",""
"Males","United Kingdom","Number","Intentional self-harm","Total","All deaths reported in the country","2016","3,555",""
"Males","United Kingdom","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","Iceland","Number","Intentional self-harm","Total","All deaths reported in the country","2011","22",""
"Males","Iceland","Number","Intentional self-harm","Total","All deaths reported in the country","2012","25",""
"Males","Iceland","Number","Intentional self-harm","Total","All deaths reported in the country","2013","34",""
"Males","Iceland","Number","Intentional self-harm","Total","All deaths reported in the country","2014","32",""
"Males","Iceland","Number","Intentional self-harm","Total","All deaths reported in the country","2015","30",""
"Males","Iceland","Number","Intentional self-harm","Total","All deaths reported in the country","2016","36",""
"Males","Iceland","Number","Intentional self-harm","Total","All deaths reported in the country","2017","32",""
"Males","Liechtenstein","Number","Intentional self-harm","Total","All deaths reported in the country","2011","3",""
"Males","Liechtenstein","Number","Intentional self-harm","Total","All deaths reported in the country","2012","1",""
"Males","Liechtenstein","Number","Intentional self-harm","Total","All deaths reported in the country","2013","1",""
"Males","Liechtenstein","Number","Intentional self-harm","Total","All deaths reported in the country","2014","1",""
"Males","Liechtenstein","Number","Intentional self-harm","Total","All deaths reported in the country","2015","1",""
"Males","Liechtenstein","Number","Intentional self-harm","Total","All deaths reported in the country","2016","2",""
"Males","Liechtenstein","Number","Intentional self-harm","Total","All deaths reported in the country","2017","6",""
"Males","Norway","Number","Intentional self-harm","Total","All deaths reported in the country","2011","434",""
"Males","Norway","Number","Intentional self-harm","Total","All deaths reported in the country","2012","369",""
"Males","Norway","Number","Intentional self-harm","Total","All deaths reported in the country","2013","387",""
"Males","Norway","Number","Intentional self-harm","Total","All deaths reported in the country","2014","416",""
"Males","Norway","Number","Intentional self-harm","Total","All deaths reported in the country","2015","409",""
"Males","Norway","Number","Intentional self-harm","Total","All deaths reported in the country","2016","429",""
"Males","Norway","Number","Intentional self-harm","Total","All deaths reported in the country","2017","412",""
"Males","Switzerland","Number","Intentional self-harm","Total","All deaths reported in the country","2011","780",""
"Males","Switzerland","Number","Intentional self-harm","Total","All deaths reported in the country","2012","785",""
"Males","Switzerland","Number","Intentional self-harm","Total","All deaths reported in the country","2013","828",""
"Males","Switzerland","Number","Intentional self-harm","Total","All deaths reported in the country","2014","781",""
"Males","Switzerland","Number","Intentional self-harm","Total","All deaths reported in the country","2015","812",""
"Males","Switzerland","Number","Intentional self-harm","Total","All deaths reported in the country","2016","794",""
"Males","Switzerland","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Males","Serbia","Number","Intentional self-harm","Total","All deaths reported in the country","2011","909",""
"Males","Serbia","Number","Intentional self-harm","Total","All deaths reported in the country","2012","933",""
"Males","Serbia","Number","Intentional self-harm","Total","All deaths reported in the country","2013","902",""
"Males","Serbia","Number","Intentional self-harm","Total","All deaths reported in the country","2014","857",""
"Males","Serbia","Number","Intentional self-harm","Total","All deaths reported in the country","2015","795",""
"Males","Serbia","Number","Intentional self-harm","Total","All deaths reported in the country","2016","704",""
"Males","Serbia","Number","Intentional self-harm","Total","All deaths reported in the country","2017","763",""
"Males","Turkey","Number","Intentional self-harm","Total","All deaths reported in the country","2011","850",""
"Males","Turkey","Number","Intentional self-harm","Total","All deaths reported in the country","2012","1,072",""
"Males","Turkey","Number","Intentional self-harm","Total","All deaths reported in the country","2013","1,392",""
"Males","Turkey","Number","Intentional self-harm","Total","All deaths reported in the country","2014","1,209",""
"Males","Turkey","Number","Intentional self-harm","Total","All deaths reported in the country","2015","1,135",""
"Males","Turkey","Number","Intentional self-harm","Total","All deaths reported in the country","2016","1,422",""
"Males","Turkey","Number","Intentional self-harm","Total","All deaths reported in the country","2017","2,127",""
"Females","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2011","608",""
"Females","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2012","548",""
"Females","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2013","540",""
"Females","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2014","566",""
"Females","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2015","557",""
"Females","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2016","553",""
"Females","Belgium","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Females","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2011","157",""
"Females","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2012","200",""
"Females","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2013","147",""
"Females","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2014","174",""
"Females","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2015","159",""
"Females","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2016","158",""
"Females","Bulgaria","Number","Intentional self-harm","Total","All deaths reported in the country","2017","167",""
"Females","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2011","256",""
"Females","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2012","282",""
"Females","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2013","285",""
"Females","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2014","298",""
"Females","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2015","255",""
"Females","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2016","261",""
"Females","Czechia","Number","Intentional self-harm","Total","All deaths reported in the country","2017","296",""
"Females","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2011","157",""
"Females","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2012","166",""
"Females","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2013","160",""
"Females","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2014","166",""
"Females","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2015","175",""
"Females","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2016","144",""
"Females","Denmark","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Females","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2011","2,504",""
"Females","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2012","2,616",""
"Females","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2013","2,643",""
"Females","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2014","2,603",""
"Females","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2015","2,696",""
"Females","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2016","2,471",""
"Females","Germany (until 1990 former territory of the FRG)","Number","Intentional self-harm","Total","All deaths reported in the country","2017","2,257",""
"Females","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2011","40",""
"Females","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2012","47",""
"Females","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2013","48",""
"Females","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2014","49",""
"Females","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2015","37",""
"Females","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2016","39",""
"Females","Estonia","Number","Intentional self-harm","Total","All deaths reported in the country","2017","54",""
"Females","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2011","96",""
"Females","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2012","96",""
"Females","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2013","96",""
"Females","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2014","87",""
"Females","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2015","90",""
"Females","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2016","87",""
"Females","Ireland","Number","Intentional self-harm","Total","All deaths reported in the country","2017","73",""
"Females","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2011","84",""
"Females","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2012","91",""
"Females","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2013","108",""
"Females","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2014","115",""
"Females","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2015","107",""
"Females","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2016","81",""
"Females","Greece","Number","Intentional self-harm","Total","All deaths reported in the country","2017","103",""
"Females","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2011","745",""
"Females","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2012","815",""
"Females","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2013","960",""
"Females","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2014","973",""
"Females","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2015","923",""
"Females","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2016","907",""
"Females","Spain","Number","Intentional self-harm","Total","All deaths reported in the country","2017","962",""
"Females","France","Number","Intentional self-harm","Total","All deaths reported in the country","2011","2,650",""
"Females","France","Number","Intentional self-harm","Total","All deaths reported in the country","2012","2,464",""
"Females","France","Number","Intentional self-harm","Total","All deaths reported in the country","2013","2,426",""
"Females","France","Number","Intentional self-harm","Total","All deaths reported in the country","2014","2,272",""
"Females","France","Number","Intentional self-harm","Total","All deaths reported in the country","2015","2,140",""
"Females","France","Number","Intentional self-harm","Total","All deaths reported in the country","2016","2,023",""
"Females","France","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Females","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2011","2,617",""
"Females","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2012","2,429",""
"Females","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2013","2,388",""
"Females","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2014","2,239",""
"Females","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2015","2,102",""
"Females","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2016","1,991",""
"Females","France (metropolitan)","Number","Intentional self-harm","Total","All deaths reported in the country","2017",":",""
"Females","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2011","184",""
"Females","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2012","181",""
"Females","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2013","147",""
"Females","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2014","188",""
"Females","Croatia","Number","Intentional self-harm","Total","All deaths reported in the country","2015","199",""
